age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
31,Private,467579,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K
71,Private,93202,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,16,United-States,<=50K
62,Private,252668,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,70,United-States,<=50K
37,Private,109133,Assoc-acdm,12,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,45,United-States,>50K
43,Private,271807,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
54,Self-emp-inc,146574,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
43,Local-gov,311914,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
64,Private,60940,HS-grad,9,Widowed,Sales-Bussiness,Not-in-family,White,Female,50,France,>50K
45,Private,202812,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
52,Private,189728,HS-grad,9,Separated,Servernt-Service,Not-in-family,White,Female,50,United-States,<=50K
24,Local-gov,461678,10th,6,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
45,Private,361842,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K
17,Private,72321,11th,7,Never-married,Other-service,Other-relative,White,Female,12,United-States,<=50K
28,Private,120135,Assoc-voc,11,Never-married,Sales-Bussiness,Not-in-family,White,Female,40,United-States,<=50K
31,Private,201122,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
51,Private,103824,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,Haiti,<=50K
35,Private,150217,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,24,Poland,<=50K
63,Private,266083,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,>50K
