age,workclass,education,marital-status,race,sex,hours-per-week,native-country,class
25,Private, 11th, Never-married, Black,Male,40,United-States,<=50K
38,Private, HS-grad, Married-civ-spouse, White,Male,50,United-States,<=50K
28,Local-gov, Assoc-acdm, Married-civ-spouse, White,Male,40,United-States,>50K
44,Private, Some-college, Married-civ-spouse, Black,Male,40,United-States,>50K
18,Others, Some-college, Never-married, White,Female,30,United-States,<=50K
34,Private, 10th, Never-married, White,Male,30,United-States,<=50K
29,Others, HS-grad, Never-married, Black,Male,40,United-States,<=50K
63,Self-emp-not-inc, Prof-school, Married-civ-spouse, White,Male,32,United-States,>50K
24,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
55,Private, 7th-8th, Married-civ-spouse, White,Male,10,United-States,<=50K
65,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
36,Federal-gov, Bachelors, Married-civ-spouse, White,Male,40,United-States,<=50K
26,Private, HS-grad, Never-married, White,Female,39,United-States,<=50K
58,Others, HS-grad, Married-civ-spouse, White,Male,35,United-States,<=50K
48,Private, HS-grad, Married-civ-spouse, White,Male,48,United-States,>50K
43,Private, Masters, Married-civ-spouse, White,Male,50,United-States,>50K
20,State-gov, Some-college, Never-married, White,Male,25,United-States,<=50K
43,Private, HS-grad, Married-civ-spouse, White,Female,30,United-States,<=50K
37,Private, HS-grad, Widowed, White,Female,20,United-States,<=50K
40,Private, Doctorate, Married-civ-spouse, Asian-Pac-Islander,Male,45,Others,>50K
34,Private, Bachelors, Married-civ-spouse, White,Male,47,United-States,>50K
34,Private, Some-college, Never-married, Black,Female,35,United-States,<=50K
72,Others, 7th-8th, Divorced, White,Female,6,United-States,<=50K
25,Private, Bachelors, Never-married, White,Male,43,Peru,<=50K
25,Private, Bachelors, Married-civ-spouse, White,Male,40,United-States,<=50K
45,Self-emp-not-inc, HS-grad, Married-civ-spouse, White,Male,90,United-States,>50K
22,Private, HS-grad, Never-married, White,Male,20,United-States,<=50K
23,Private, HS-grad, Separated, Black,Male,54,United-States,<=50K
54,Private, HS-grad, Married-civ-spouse, White,Male,35,United-States,<=50K
